"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Credit Suisse Group AG","0.36","EQUITY","CSGN","Large Core","2003-05-31","5467260","473195","Financial Services","79554050","15.05","-0.08|-0.53%","15.24-15.03","7339489","15.74-9.95","Switzerland","8.26","49.32","-10.45","3.13","38672.46","CHF","2","12.12","-","-","-","-"
"Linde AG","0.35","EQUITY","LIN","Large Core","1990-09-30","413777","37737","Basic Materials","78763911","163","1.3|0.8%","163.55-161.65","170334","179.7-126","Germany","0.27","28.12","3.76","7.9","30017.66","EUR","3","5.96","24.88","-","-","-"
"Nokia Oyj","0.35","EQUITY","NOKIA","Large Growth","1999-09-30","12716612","1117253","Technology","77974964","5.42","0.03|0.56%","5.43-5.37","6700373","5.95-3.66","Finland","3","4.8","-1.35","28.81","31457.48","EUR","3","17.86","-","-","-","-"
"Fresenius SE & Co KGaA","0.35","EQUITY","FRE","Large Growth","2008-06-30","900725","83512","Healthcare","77330057","72.41","0.16|0.22%","72.71-71.58","297928","80.07-63.62","Germany","-2.07","7.91","26.97","20.7","39990.19","EUR","2","-1.87","23.53","-","-","-"
"Royal Philips NV","0.33","EQUITY","PHIA","Large Core","2010-03-31","2055939","213173","Industrials","73188880","32.46","0.16|0.48%","32.46-32.17","920132","34.33-23.24","Netherlands","4.02","38.2","13.91","15.26","30266.55","EUR","4","14.14","25.63","-","-","-"
"BT Group PLC","0.32","EQUITY","BT.A","Large Value","2002-09-30","18648577","1657122","Communication Services","71708681","314.5","4.1|1.32%","315.98-308.85","6478190","419.4-277.44","United Kingdom","1.85","-21.6","-3.04","11.13","30941.07","GBX","4","-15.4","19.28","-","-","-"
"BHP Billiton PLC","0.32","EQUITY","BLT","Large Value","2002-09-30","4628995","350069","Basic Materials","70919848","1381.25","17.25|1.26%","1396.5-1376.5","3886582","1518.5-929.7","United Kingdom","16.09","46.46","-8.14","-1.04","72598.12","GBX","3","6.92","38.47","-","-","-"
"Orange SA","0.3","EQUITY","ORA","Large Value","2003-05-31","4261259","411010","Communication Services","67817706","14.32","-","14.38-14.23","2142774","15.8-13.03","France","3.7","9.06","10.95","9.88","38104.99","EUR","4","2.01","143.25","-","-","-"
"Bayerische Motoren Werke AG","0.3","EQUITY","BMW","Large Value","2007-12-31","715071","57320","Consumer Cyclical","66506943","77.7","-0.15|-0.19%","77.96-77.29","474182","91.76-72.02","Germany","-7.19","7.08","-1.75","9.37","50593.27","EUR","4","-8.34","6.93","-","-","-"
"CRH PLC","0.3","EQUITY","CRH","Large Core","1993-10-31","1852948","171664","Basic Materials","65786178","2664","-3|-0.11%","2679-2659","281555","3342-2215","United States","-5.39","19.38","25.22","19.4","22124.42","GBX","4","-4.34","20","-","-","-"
"Swiss Re AG","0.29","EQUITY","SREN","Large Core","2011-09-30","704809","38646","Financial Services","64590648","92.95","0.15|0.16%","93-92.6","365854","98.5-86.3","Switzerland","7.16","18.72","11.16","15.48","30250.83","CHF","3","1.19","9.93","-","-","-"
"Pernod Ricard SA","0.28","EQUITY","RI","Large Growth","2009-12-31","471077","41920","Consumer Defensive","63080717","117.95","0.05|0.04%","118.05-117.15","139349","124.45-95.73","France","3.47","17.59","13.21","7.62","31150.57","EUR","2","15.43","24.77","-","-","-"
"Volkswagen AG","0.28","EQUITY","VOW3","Large Value","1990-09-30","406992","35168","Consumer Cyclical","62170498","131","-0.8|-0.61%","132.05-130.6","482845","156.55-110.6","Germany","-8.03","8.21","-7.61","1.79","66808.44","EUR","4","0.38","10.71","-","-","-"
