"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Ctrip.com International Ltd ADR","0.42","EQUITY","CTRP","-","2016-05-31","87267","2085","Consumer Cyclical","4769142","59.71","0.86|1.46%","60.22-57.8","3183279","60.65-39.71","China","18.21","36.36","21.41","54.76","30645.76","USD","3","49.28","653.18","-","-","-"
"Sberbank of Russia PJSC ADR","0.42","EQUITY","SBER","Large Core","2011-10-31","426892","0","Financial Services","4759846","11.77","-0.03|-0.25%","11.83-11.69","9618386","12.65-8.34","Russia","2.34","42.48","13.9","4.27","59861.69","USD","-","5.12","6.99","-","-","-"
"CNOOC Ltd","0.42","EQUITY","00883","Large Core","2011-10-31","4170000","112000","Energy","4734456","8.75","0.03|0.34%","8.8-8.7","9221718","10.88-8.45","China","-1.32","-5.13","-10.15","-6.01","389325.81","HKD","3","-7.73","754.24","-","-","-"
"KB Financial Group Inc","0.4","EQUITY","105560","Large Value","2016-05-31","93059","2489","Financial Services","4448548","58600","-","59000-57900","316915","60500-34800","South Korea","16.97","67.18","16.87","12.69","23238722","KRW","-","36.92","9.26","-","-","-"
"Shinhan Financial Group Co Ltd","0.39","EQUITY","055550","Large Value","2016-05-31","100021","2707","Financial Services","4411219","52600","-200|-0.38%","52800-51800","219224","53500-39150","South Korea","11.04","34.95","4.87","10.69","25037738","KRW","-","16.69","8.45","-","-","-"
"POSCO","0.39","EQUITY","005490","Large Value","2016-05-31","17332","402","Basic Materials","4372929","333500","6000|1.83%","335000-324500","112387","335000-208000","South Korea","22.43","46.83","1.62","0.47","26199246","KRW","2","27.77","14.45","-","-","-"
"Tata Consultancy Services Ltd","0.39","EQUITY","TCS","Large Growth","2012-05-31","110369","2358","Technology","4356932","2484.3","2.6|0.1%","2493.05-2442","691376","2744.8-2051.9","India","10.81","-3.34","0.34","17.22","4752697.5","INR","3","6.75","18.86","-","-","-"
"Fomento Economico Mexicano SAB de CV Units (1 Series B, 4 Series D)","0.36","EQUITY","FEMSA UBD","-","2011-10-31","431600","13600","Consumer Defensive","4066243","180.03","0.63|0.35%","180.5-177.81","1829966","184.1-28.35","Mexico","7.03","7.31","14.38","9.96","3220940.5","MXN","-","15","168.01","-","-","-"
"Gazprom PJSC ADR","0.35","EQUITY","OGZD","Large Value","2015-08-31","958252","0","Energy","3989682","3.87","-0.06|-1.46%","3.92-3.83","12626545","7.63-3.83","Russia","-12.55","0.95","-14.72","-10.68","43455.66","USD","-","-17.74","2.77","-","-","-"
"Hyundai Mobis Co Ltd","0.35","EQUITY","012330","Large Value","2016-05-31","15947","395","Consumer Cyclical","3910132","246500","-9000|-3.52%","255000-245000","97557","293500-212000","South Korea","15.09","-3.54","-1.87","-1.3","24196020","KRW","-","-3.22","11.72","-","-","-"
"Sasol Ltd","0.34","EQUITY","SOL","Large Value","2011-10-31","129243","2827","Energy","3875911","39871","669|1.71%","39871-38902","1040293","43620-34655","South Africa","-2.75","6.57","-10.28","7.54","260694.81","ZAC","2","1.16","16.69","-","-","-"
"PT Telekomunikasi Indonesia (Persero) Tbk Class B","0.34","EQUITY","TLKM","Large Growth","2011-10-31","11778200","235400","Communication Services","3840327","-","-","-","-","-","-","10.24","11.45","23.74","22.82","465592416","IDR","-","21.04","21.65","-","-","-"
"ITC Ltd","0.34","EQUITY","ITC","Large Growth","2012-05-31","792233","16991","Consumer Defensive","3829147","291.55","3|1.04%","294.75-287.15","18494629","354.8-222","India","6.58","16.52","8.73","13.03","3545414.5","INR","-","22.62","34.5","-","-","-"
"Steinhoff International Holdings NV","0.33","EQUITY","SNH","Large Core","2015-12-31","695159","15599","Consumer Cyclical","3710342","6765","12|0.18%","6794-6710","3113887","9467-6171","Netherlands","-0.66","-20.88","10.65","24.48","288594.91","ZAC","-","-4.51","12.26","-","-","-"
"PT Bank Central Asia Tbk","0.33","EQUITY","BBCA","Large Growth","2011-10-31","2875200","49400","Financial Services","3701928","-","-","-","-","-","-","5.92","31.72","18.51","19.56","463514176","IDR","-","22.13","22.49","-","-","-"
"Petroleo Brasileiro SA Petrobras","0.32","EQUITY","PETR4","Large Value","2011-10-31","908900","7300","Energy","3640150","13.13","0.13|1%","13.13-12.91","20980200","18.49-11.1","Brazil","-6.01","14.77","-13.3","-5.92","175069.89","BRL","-","-11.7","-","-","-","-"
"Largan Precision Co Ltd","0.32","EQUITY","3008","Large Growth","2011-10-31","23000","0","Technology","3624451","5485","40|0.73%","5490-5415","110","5635-3210","Taiwan","8.57","57.39","35.32","55.87","730392.31","TWD","-","43.67","30.69","-","-","-"
"Vale SA A","0.32","EQUITY","VALE5","Large Value","2015-05-31","450400","17500","Basic Materials","3589615","28.38","0.57|2.05%","28.4-27.44","13273300","35.2-13.81","Brazil","8.07","96.87","2.28","-0.82","146252.78","BRL","-","25.47","7.69","-","-","-"
"MTN Group Ltd","0.32","EQUITY","MTN","Large Core","2011-10-31","396530","9214","Communication Services","3552594","11921","59|0.5%","12060-11755","8897498","14338-10476","South Africa","-5.76","-9.56","-12.04","1.89","223407.11","ZAC","-","-1.95","-","-","-","-"
"Grupo Financiero Banorte SAB de CV Class O","0.3","EQUITY","GFNORTE O","Large Core","2011-10-31","585700","17800","Financial Services","3374544","117.28","-1.56|-1.31%","118.85-116.9","5590379","123.97-90.8","Mexico","11.36","22.02","11.74","12.18","322428.53","MXN","-","19.8","17.06","-","-","-"
